"season_order","gp","gs","w","l","sv","bs","hld","outs","tbf","h","r","er","hr","k","bb","ibb","hbp","cg","sho","wp","bk","era","whip","k_percent","bb_percent","babip","player_id"
447,NYY,1,1,0,0,0,0,1,3,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5
448,HOU,1,37,6,0,6,0,46,138,208,57,27,26,6,38,19,1,3,0,0,4,0,0,0,0,0,5
449,CLE,1,26,0,0,0,0,35.1,106,152,38,19,18,3,28,16,1,0,0,0,2,0,0,0,0,0,5
449,OAK,2,1,0,0,0,0,2,6,10,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5
450,BOS,1,69,0,2,10,25,84,252,361,80,51,50,11,75,31,2,6,0,0,3,1,0,0,0,0,5
451,NYM,1,45,0,1,3,1,47.1,142,216,48,38,34,7,46,25,1,3,0,0,2,0,0,0,0,0,5
452,TEX,1,61,0,5,3,1,52.1,157,228,56,21,19,4,45,17,1,3,0,0,2,0,0,0,0,0,5
453,KCR,1,12,2,0,3,0,34.2,104,148,37,13,9,4,22,13,2,1,0,0,0,0,0,0,0,0,5
454,SFG,1,67,0,1,2,3,63.1,190,267,57,23,19,1,57,23,1,3,0,0,5,0,0,0,0,0,5
455,ARI,1,3,0,0,0,0,3,9,15,5,3,3,1,2,0,0,1,0,0,0,1,0,0,0,0,5
456,BOS,1,40,0,2,0,0,39.1,118,157,30,14,10,6,25,15,3,1,0,0,0,0,0,0,0,0,5
456,ARI,2,23,0,1,1,0,21,63,84,16,7,6,3,19,7,0,1,0,0,1,0,0,0,0,0,5
457,DET,1,8,0,0,0,0,13.1,40,53,6,1,1,0,18,8,0,0,0,0,0,1,0,0,0,0,5
458,CLE,1,27,0,0,1,0,29,87,126,29,12,12,2,27,15,0,0,0,0,0,0,0,0,0,0,5
459,TOR,1,31,31,9,14,0,187.1,562,807,216,110,101,29,79,54,2,3,1,1,3,1,0,0,0,0,5
460,HOU,1,18,0,1,1,0,19.1,58,83,14,9,9,0,22,11,2,2,0,0,4,0,0,0,0,0,5
461,OAK,1,6,6,4,2,0,35,105,137,29,11,10,1,25,7,1,1,0,0,1,0,0,0,0,0,5
462,TBR,1,6,4,1,3,0,29.1,88,122,23,17,15,3,36,13,0,1,0,0,2,0,0,0,0,0,5
463,CIN,1,66,0,6,2,1,61,183,263,50,26,20,7,62,34,2,1,0,0,0,2,0,0,0,0,5
464,BAL,1,24,18,3,9,0,114.2,344,496,122,82,79,16,109,35,3,5,0,0,4,0,0,0,0,0,5
465,CIN,1,32,32,12,10,0,202,606,835,209,86,84,26,129,35,1,5,1,1,3,0,0,0,0,0,5
466,CLE,1,18,0,1,1,0,25.2,77,108,27,17,17,4,21,8,0,1,0,0,3,0,0,0,0,0,5
466,CHC,2,12,0,0,0,0,14.2,44,67,12,6,5,1,8,11,1,0,0,0,0,0,0,0,0,0,5
467,BOS,1,42,0,2,1,0,51.1,154,200,42,10,9,2,36,9,3,0,0,0,2,0,0,0,0,0,5
468,PHI,1,18,0,0,1,2,14.2,44,65,10,6,6,0,14,9,1,1,0,0,2,0,0,0,0,0,5
469,ATL,1,31,0,1,0,0,36,108,142,27,9,8,1,33,10,1,1,0,0,3,1,0,0,0,0,5
470,CHW,1,14,7,2,2,0,51,153,231,56,32,31,8,40,21,0,4,0,0,1,0,0,0,0,0,5
471,MIL,1,75,0,5,8,35,69.1,208,310,61,42,36,10,93,39,2,2,0,0,10,0,0,0,0,0,5
472,BAL,1,66,0,5,5,1,75,225,320,81,27,22,7,51,14,3,4,0,0,2,0,0,0,0,0,5
473,TBR,1,66,0,3,2,0,62.1,187,262,63,24,21,6,42,12,5,1,0,0,1,0,0,0,0,0,5
474,BOS,1,19,0,1,1,6,15.1,46,74,21,12,12,2,14,8,2,0,0,0,0,1,0,0,0,0,5
475,CIN,1,33,33,13,10,0,208,624,874,206,97,85,26,168,52,3,8,2,1,3,0,0,0,0,0,5
476,DET,1,11,0,2,0,0,18,54,83,14,14,13,5,12,11,1,3,0,0,4,0,0,0,0,0,5
477,OAK,1,75,0,3,2,24,74.2,224,289,41,21,21,4,72,28,2,1,0,0,2,0,0,0,0,0,5
478,BOS,1,17,10,5,6,0,59.1,178,277,60,42,41,9,38,43,1,8,0,0,1,2,0,0,0,0,5
479,CLE,1,16,0,0,0,0,19,57,82,17,9,9,1,16,7,0,3,0,0,2,0,0,0,0,0,5
480,SDP,1,24,15,2,8,1,97,291,411,89,59,51,10,80,39,3,1,1,0,5,1,0,0,0,0,5
481,PHI,1,65,0,2,5,1,52,156,224,40,26,25,7,81,26,3,2,0,0,5,0,0,0,0,0,5
482,NYM,1,30,5,1,3,0,46.2,140,220,53,28,25,5,34,31,0,1,0,0,1,0,0,0,0,0,5
482,ATL,2,5,0,0,0,0,6,18,24,5,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0,5
483,ARI,1,4,4,1,2,0,16.1,49,77,14,13,11,2,17,13,0,1,0,0,2,0,0,0,0,0,5
484,ATL,1,13,13,5,5,0,81,243,319,49,24,18,6,68,29,1,1,1,1,4,0,0,0,0,0,5
485,NYM,1,7,0,0,0,0,4.1,13,20,5,5,5,1,5,2,0,0,0,0,1,0,0,0,0,0,5
485,BOS,2,4,0,1,0,0,7.2,23,31,6,4,4,0,7,3,0,1,0,0,0,0,0,0,0,0,5
486,SEA,1,26,26,11,11,0,152.1,457,638,168,76,75,23,67,24,0,10,0,0,3,0,0,0,0,0,5
487,TOR,1,14,0,0,0,0,15.2,47,72,21,12,11,2,9,5,0,0,0,0,1,1,0,0,0,0,5
488,BOS,1,21,21,5,11,0,127.1,382,547,131,75,74,16,94,38,2,5,0,0,4,0,0,0,0,0,5
488,LAD,2,7,7,2,3,0,43,129,183,43,16,14,5,38,14,4,0,0,0,1,0,0,0,0,0,5
489,PIT,1,24,24,7,14,0,125.2,377,557,129,76,70,14,118,56,2,3,0,0,1,1,0,0,0,0,5
490,LAD,1,68,0,8,1,1,71,213,286,47,22,20,3,69,29,4,4,0,0,1,0,0,0,0,0,5
491,COL,1,80,0,3,8,3,80,240,348,91,36,33,5,69,18,6,3,0,0,1,1,0,0,0,0,5
492,CHC,1,22,0,1,0,0,17.2,53,86,21,9,9,5,17,12,1,1,0,0,1,1,0,0,0,0,5
